f,f,c,g,j,c,b,k,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,k,h,j,d,d,c,b
7,111,223,345,441,549,629,801,1803,1979,2151,2295,2405,2491,2629,2785,2907,3021,3137,3235,3345,3469,3587,3669,3805,4005,4197,4325,4429,4553,4669,4749
65,189,301,409,505,623,691,885,1841,2029,2201,2373,2475,2543,2709,2861,2989,3099,3201,3299,3445,3561,3657,3727,3879,4055,4255,4387,4531,4641,4741,4811
