e,e,e,h,e,h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,k,h
2371,2847,3053,3253,3375,3571,3705,4095,4265,4417,4599,4739,4841,4925,5099,5259,5379,5491,5603,5699,5807,5931,6045,6125,6265,6427,6551,6665,6785,6881,6989,7113,7229,7301.3,7471,7659,7817,7951,8065,8151,8897,9075,9235,9371,9477,9559,9687,9841,9975,10089,10207,10303,10411,10493,10637,10801,10923,11035,11121,11255,11439,11641
2433,2935,3109,3289,3465,3613,3779,4145,4327,4493,4651,4813,4913,4985,5181,5333,5455,5567,5667,5765,5907,6017,6117,6183,6343,6501,6627,6743,6851,6945,7087,7199,7292.6,7373,7547,7713,7875,8029,8139,8199,8949,9133,9289,9447,9545,9617,9769,9915,10049,10161,10271,10367,10483,10553,10723,10879,11001,11107,11183,11341,11499,11699
