e,h,e,e,h,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b
1527,1991,2137,2311,2499,2683,2889,3077,3289,3415,3517,3597,3725,3879,4001,4109,4223,4319,4423,4541,4657,4735,4943,5111,5225,5323,5443,5557,5639,5777,5927,6047,6167,6249,6383,6537,6661,6765,6881,6977,7087,7209,7323,7405,7565,7709,7831,7941,8023,8159,8345,8513,8631,8731,8849,8963,9047,9179,9335,9467,9581,9665
1557,2021,2191,2361,2533,2721,2923,3137,3327,3485,3587,3653,3801,3947,4071,4177,4279,4371,4521,4629,4723,4789,4997,5163,5285,5425,5525,5621,5689,5851,5997,6119,6237,6305,6459,6611,6733,6837,6943,7035,7181,7295,7389,7459,7637,7785,7905,8007,8075,8235,8393,8565,8685,8825,8935,9025,9099,9257,9407,9541,9649,9717
