e,e,h,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
491,1551,1735,1981,2337,2541,2703,2833,2937,3023,3175,3333,3451,3565,3679,3777,3887,3967,4109,4267,4397,4511,4627,4723,4831,4953,5069,5151,5843,6005,6141,6251,6333,6463,6615,6741,6857,6977,7077,7187,7315,7433,7515,7655,7843,8039,8207,8367,8493,8605,8691,8847,9013,9143,9255,9371,9471,9577,9661,9843,9999,10119,10231,10347,10443,10557,10687,10807,10889
577,1587,1767,2025,2381,2589,2749,2907,3007,3075,3251,3407,3525,3633,3737,3833,3953,4023,4189,4341,4469,4583,4689,4781,4929,5039,5135,5205,5889,6057,6215,6319,6385,6537,6689,6817,6931,7041,7137,7289,7403,7503,7575,7735,7897,8149,8285,8445,8571,8671,8747,8925,9089,9219,9333,9433,9527,9647,9711,9917,10075,10199,10301,10409,10507,10659,10773,10875,10943
