c,b,h,h,h,h,h,h,e,h,h,f,c,b,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,f,c,g,j,c,b,k,f,f,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b
7,59,567,733,917,1985,2189,2363,2527,2769,2933,3097,3207,3285,3621,3797,3927,4033,4153,4271,4353,4487,4639,4769,4877,4995,5091,5195,5275,5403,5557,5683,5793,5905,6001,6107,6227,6343,6421,6933,7081,7217,7337,7451,7563,7661,7769,7849,7973,8131,8255,8369,8455,8587,8777,8983,9145,9295,9419,9533,9643,9739,9847,9927,10063,10215,10347,10455,10537
51,119,617,781,971,2025,2235,2411,2589,2811,2987,3175,3281,3345,3675,3847,3991,4133,4243,4341,4407,4565,4715,4847,4945,5057,5149,5265,5335,5485,5635,5761,5863,5967,6065,6207,6313,6411,6479,6983,7135,7295,7413,7521,7627,7721,7839,7911,8057,8209,8337,8441,8513,8667,8831,9097,9225,9375,9503,9609,9707,9803,9921,9989,10143,10293,10423,10531,10595
