h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,h,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,h,e,k,f,f,c,b,k,h,e,h,f,f,c,b,k,h,h,j,d,d,c,b,k,e,h,h,j,d,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,h,h,f,f,c,b
1807,1983,2137,2239,2321,2499,2663,2783,2897,3015,3107,3211,3291,3425,3593,3725,3831,3947,4043,4147,4225,4355,4555,4741,4913,5049,5171,5277,5395,5491,5599,5713,5835,5915,6053,6257,6449,6575,6679,6799,6913,6993,7125,7309,7611,7695,7815,7977,8097,8207,8321,8417,8519,8599,8725,8919,9139,9253,9353,9473,9589,9671,9801,9997,10205,10357,10509,10631,10743,10823,10953,11247,11447,11725,11857,11977,12091,12175,12309,12493,12637,12757,12855,12977,13093,13173,13323,13529,13795,13951,14081,14181,14303,14425,14541,14623,14779,14933,15057,15167,15287,15383,15487,15567,15689,15885,16059,16177,16283,16405,16521,16607,17003,17163,17333,17457,17565,17649
1839,2029,2209,2295,2373,2573,2733,2855,2963,3071,3163,3273,3339,3499,3669,3799,3897,4005,4097,4209,4279,4427,4601,4785,4959,5121,5243,5343,5457,5547,5695,5805,5897,5963,6125,6307,6505,6629,6779,6885,6977,7043,7199,7357,7683,7751,7893,8051,8173,8279,8379,8469,8583,8647,8801,8965,9183,9309,9451,9565,9655,9723,9877,10047,10295,10433,10583,10707,10811,10879,11031,11295,11553,11773,11931,12053,12151,12223,12385,12537,12687,12811,12955,13063,13161,13227,13397,13581,13845,14005,14137,14279,14399,14513,14603,14673,14853,15009,15131,15237,15345,15437,15553,15621,15765,15933,16109,16235,16381,16497,16589,16661,17055,17217,17413,17533,17607,17703
