e,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,j,d,d,c,b,h,e,c,b,k,f,f,c,g,j,d,d,c,b
947,1443,1609,1777,1951,2119,2257,2353,2431,2577,2731,2853,2959,3071,3165,3271,3391,3503,3579,3717,3913,4089,4271,4423,4541,4651,4765,4857,4961,5083,5195,5277,5409,5571,5695,5807,5889,6023,6247,6407,6539,6645,6763,6873,6953,7113,7267,7391,7501,7619,7715,7819,7899,8023,8183,8345,8455,8577,8669,8777,8895,9011,9089,9241,9401,9521,9631,9715,9863,10063,10253,10373,10477,10591,10707,10785,11073,11245,11369,11475,11595,11711,11793,12405,12575,12693,12769,12895,13041,13163,13271,13387,13481,13587,13711,13829,13911
1009,1475,1651,1837,2005,2159,2325,2423,2487,2651,2809,2925,3029,3127,3225,3371,3477,3573,3639,3797,3961,4205,4349,4495,4619,4721,4827,4923,5061,5169,5265,5331,5485,5645,5773,5877,5949,6105,6299,6463,6601,6743,6851,6949,7017,7195,7345,7467,7575,7681,7773,7891,7957,8111,8261,8421,8529,8641,8733,8877,8983,9083,9149,9323,9479,9601,9701,9773,9945,10117,10309,10439,10579,10677,10781,10849,11129,11303,11437,11579,11685,11783,11853,12459,12627,12765,12835,12977,13121,13245,13341,13447,13545,13693,13799,13899,13971
