e,h,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,e,k,f,f,c,g,j,d,d,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,e,k,f,f,c,g,j,c,b,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,h,j,d,d,c,b,h,h,f,f,c,b,k,f,f
1323,1863,1989,2155,2321,2509,2647,2743,2823,2973,3125,3245,3351,3463,3555,3661,3777,3889,3963,4565,4743,4941,5073,5179,5257,5391,5541,5659,5763,5873,5965,6067,6145,6271,6715,6893,7105,7253,7399,7501,7611,7703,7811,7927,8081,8257,8413,8553,8673,8775,8889,8983,9087,9167,9289,9433,9555,9663,9745,9869,10081,10265,10449,10597,10713,10823,10933,11023,11129,11207,11333,11525,11733,11815,11895,12029,12187,12313,12417,12529,12621,12725,12845,12963,13041,13179,13419,13621,13767,13971,14091,14193,14307,14423,14505,14839,15013,15167,15297,15403,15483,15613,15775,15907
1415,1891,2055,2201,2379,2553,2713,2811,2877,3041,3193,3315,3411,3523,3611,3755,3861,3951,4007,4609,4861,4987,5147,5247,5307,5463,5611,5729,5823,5931,6017,6129,6187,6343,6763,7023,7177,7323,7467,7565,7659,7755,7913,7979,8121,8349,8479,8623,8743,8839,8947,9035,9145,9213,9359,9505,9627,9731,9797,9945,10125,10377,10519,10669,10785,10887,10991,11079,11193,11257,11405,11573,11761,11883,11949,12105,12259,12383,12479,12587,12679,12821,12929,13021,13089,13253,13465,13659,13819,14019,14149,14285,14387,14485,14551,14885,15055,15239,15371,15465,15535,15687,15847,15977
