e,e,h,e,e,h,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,b,k,h,h,h,h,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,e,j,d,d,c,b,k,f,f,c,b,k,k,h,j,d,d,c,b,k,f,f,c,b,k,h,h,h,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1795,1975,2223,2377,2549,2705,2955,3141,3375,3527,3633,3715,3853,4019,4137,4245,4361,4457,4563,4641,4777,5009,5193,5387,5543,5695,5817,5929,6045,6141,6249,6331,6467,6625,6753,6867,6983,7077,7183,7303,7419,7497,7675,7873,8051,8169,8247,8379,8543,8673,8781,8861,8989,9213,9383,9615,9751,9869,9973,10089,10207,10287,10883,11035,11201,11329,11465,11571,11655,11779,11929,12051,12169,12289,12383,12491,12569,12695,12901,13051,13257,13405,13511,13629,13747,13827,13971,14125,14251,14361,14441,14583,14773,14967,15079,15179,15301,15413,15497,15657,15811,15933,16051,16133,16299,16485,16667,16843,16975,17079,17201,17317,17399,18071,18239,18429,18575,18711,18823,18903,19031,19195,19325,19439,19521,19667,19827,19955,20073,20193,20289,20401,20525,20639,20721
1821,2119,2263,2449,2613,2753,2989,3185,3427,3597,3703,3773,3933,4091,4211,4317,4421,4517,4631,4701,4857,5059,5243,5489,5619,5771,5893,6001,6105,6203,6321,6391,6547,6701,6831,6943,7045,7143,7285,7393,7487,7561,7751,7925,8109,8243,8311,8471,8619,8753,8855,8929,9075,9271,9441,9671,9809,9937,10071,10177,10281,10353,10929,11087,11257,11379,11541,11639,11715,11863,12007,12133,12245,12351,12443,12557,12627,12775,12951,13099,13359,13463,13611,13717,13811,13877,14051,14201,14325,14433,14501,14665,14825,15005,15135,15281,15383,15483,15557,15733,15887,16013,16123,16189,16379,16535,16723,16897,17037,17177,17285,17389,17455,18119,18293,18487,18627,18789,18891,18965,19113,19273,19405,19515,19585,19749,19907,20037,20151,20253,20351,20501,20615,20707,20775
