e,h,e,h,h,h,h,f,c,b,k,f,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,f,c,g,j,c,b
535,711,859,1043,1265,1687,1865,1993,2097,2181,2323,2477,2597,2717,2823,2937,3035,3141,3221,3351,3497,3621,3727,3847,3941,4049,4131,4263,4419,4545,4659,4769,4863,4969,5093,5205,5285,5423,5595,5779,5893,5973,6097,6269,6463,6633,6783,6909,7019,7139,7233,7339,7421,7563,7715,7845,7953,8073,8165,8273,8395,8515,8595,8759,8967,9123,9255,9361,9443,9585,9737,9863,9975,10091,10187,10293,10417,10535,10617,10809,11003,11185,11321,11443,11555,11669,11769,11879,12005,12121,12201,12409,12563,12691,12823,12935,13059,13157,13263,13345
603,741,911,1075,1295,1719,1897,2063,2163,2233,2401,2551,2671,2791,2891,2997,3089,3203,3269,3423,3569,3691,3793,3903,3999,4117,4183,4339,4495,4619,4727,4829,4919,5071,5179,5267,5337,5495,5645,5825,5963,6027,6177,6321,6557,6705,6859,6985,7093,7201,7293,7403,7471,7637,7789,7919,8023,8129,8223,8373,8483,8579,8645,8835,9017,9173,9329,9431,9497,9661,9815,9939,10041,10151,10243,10397,10509,10599,10669,10889,11053,11237,11399,11517,11623,11731,11829,11985,12093,12183,12253,12483,12639,12769,12895,13007,13115,13215,13333,13395
