e,e,e,h,e,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,j,e,k,f,f,c,g,j,c,b,k
233,1137,1419,1629,1809,1975,2159,2371,2675,2839,2939,3019,3149,3311,3437,3555,3667,3757,3861,3981,4093,4169,4341,4583,4759,4931,5085,5203,5313,5423,5513,5615,5693,5883
291,1239,1505,1671,1859,2045,2209,2507,2721,2911,2999,3073,3223,3385,3513,3629,3727,3819,3963,4065,4161,4229,4407,4615,4879,5007,5161,5281,5385,5483,5577,5681,5751,5963
