h,h,e,e,h,f,c,b,h,h,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,e,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1289,1787,1981,2171,2321,2473,2577,2659,2967,3133,3265,3411,3517,3633,3725,3835,3953,4065,4143,4539,4707,4841,4975,5075,5157,5287,5443,5571,5687,5807,5901,6007,6129,6239,6319,6447,6613,6743,6853,6937,7177,7541,7725,7873,8003,8121,8203,8329,8479,8611,8717,8833,8925,9029,9151,9269,9353,9485,9637,9761,9879,9959,10097,10283,10447,10609,10713,10835,10949,11033,11701,11857,12005,12131,12257,12365,12449,12575,12719,12845,12957,13071,13167,13271,13395,13511,13593,13721,13877,13997,14111,14193,14359,14557,14727,14851,14955,15077,15191,15271,15783,15949,16129,16243,16323,16455,16603,16737,16853,16939,17111,17273,17405,17517,17635,17731,17839,17963,18083,18167
1317,1815,2031,2233,2369,2543,2643,2705,2999,3175,3339,3487,3589,3695,3793,3933,4037,4131,4197,4575,4753,4887,5043,5141,5211,5359,5513,5643,5757,5865,5953,6107,6215,6305,6367,6525,6687,6815,6919,6989,7217,7579,7765,7919,8077,8187,8255,8403,8553,8683,8783,8887,8979,9127,9239,9335,9409,9561,9711,9837,9949,10019,10177,10335,10503,10667,10813,10925,11017,11087,11735,11895,12047,12175,12327,12429,12499,12651,12797,12919,13027,13133,13225,13373,13485,13575,13649,13799,13951,14073,14177,14243,14429,14605,14773,14905,15055,15163,15261,15319,15815,15995,16177,16315,16375,16535,16681,16815,16921,16995,17187,17347,17479,17585,17691,17787,17939,18053,18151,18223
