e,e,h,e,e,h,h,h,h,k,e,e,h,f,c,b,h,h,e,h,f,c,g,j,d,d,c,b,k,f,f,f,c,g,j,c,b,k,f,f,c,g,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,e,k,f,f,c,b,k,c,g,j,d,d,c,b
1873,1993,2243,2375,2563,2743,3285,3461,3665,3879,4049,4253,4417,4557,4661,4741,5111,5261,5451,5589,5719,5827,5945,6037,6145,6259,6373,6453,6601,6757,6875,6997,7109,7223,7321,7427,7507,7633,7797,7923,8033,8149,8245,8345,8427,8577,8741,8871,8983,9099,9193,9301,9415,9529,9609,9773,9937,10063,10175,10261,10411,10601,10771,10925,11049,11167,11253,11387,11551,11665,11759,11869,11993,12111,12193
1911,2119,2271,2441,2633,2789,3331,3511,3721,3917,4109,4317,4465,4629,4733,4797,5153,5309,5509,5637,5797,5903,6007,6103,6245,6351,6439,6509,6679,6835,6953,7077,7179,7283,7383,7495,7561,7713,7873,7997,8103,8209,8303,8415,8477,8653,8815,8949,9055,9159,9255,9401,9501,9597,9667,9849,10017,10143,10247,10315,10461,10715,10849,11003,11131,11241,11309,11465,11623,11723,11819,11973,12085,12183,12255
