e,h,e,h,f,c,b,h,f,c,b,k,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,e,k,f,f
1613,1841,1975,2167,2319,2429,2501,2743,2893,2999,3073,3227,3415,3567,3673,3757,3885,4039,4157,4263,4369,4465,4569,4683,4795,4871,5081,5225,5345,5451,5573,5663,5769,5847,5977,6123,6275,6385,6499,6589,6695,6817,6925,7003,7169,7381,7575,7737,7891,8017,8127,8241,8335,8443,8565,8677,8757,8891,9079,10151,10321,10459,10593,10693,10773,10897,11041,11165,11277,11355,11483,11669,11841,11969,12069,12191,12321,12433,12513,12643,12795,12919,13025,13105,13237,13393,13521,13637,13719,13851,14031,14213,14337,14439,14557,14669,14751,15129,15319,15481,15637,15769
1727,1873,2047,2215,2391,2485,2555,2795,2961,3067,3133,3309,3465,3641,3743,3813,3963,4113,4231,4323,4423,4517,4663,4765,4859,4929,5135,5299,5423,5521,5627,5717,5827,5897,6051,6199,6347,6451,6553,6645,6793,6899,6991,7059,7241,7429,7679,7813,7965,8089,8195,8299,8391,8543,8649,8741,8807,8967,9129,10191,10377,10511,10665,10761,10833,10979,11119,11241,11349,11415,11561,11717,11887,12027,12175,12289,12405,12503,12573,12725,12873,12993,13099,13169,13321,13473,13599,13707,13775,13927,14083,14263,14397,14539,14649,14741,14809,15183,15423,15565,15719,15831
