e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,k,f,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b
1767,1985,2123,2229,2313,2471,2633,2753,2865,2981,3075,3175,3297,3413,3491,3703,3861,3983,4095,4209,4303,4407,4527,4639,4719,4849,5001,5127,5235,5351,5445,5551,5673,5787,5865,6007,6157,6281,6393,6519,6609,6715,6835,6947,7029,7177,7339,7461,7575,7689,7787,7899,8021,8133,8211,8349,8611,8809,8957,9089,9195,9281,9417,9569,9697,9813,9893,10083,10245,10369,10483,10611,10707,10813,10933,11047,11129,11259,11479,11679,11933,12069,12173,12289,12387,12491,12611,12731,12811,13035,13183,13669,13859,13973,14107,14225,14309,14439,14609,14733,14845,14929,15071,15229,15363,15473,15601,15699,15807,15933,16049,16133,16349,16539,16727,16849,16951,17085,17203,17291
1845,2019,2189,2295,2359,2539,2701,2819,2925,3035,3129,3279,3383,3473,3535,3771,3927,4055,4157,4263,4357,4505,4611,4701,4763,4917,5069,5199,5299,5409,5497,5647,5755,5851,5915,6081,6227,6349,6459,6569,6661,6811,6921,7013,7077,7247,7411,7535,7645,7749,7845,7995,8103,8197,8265,8423,8657,8851,9001,9159,9263,9335,9491,9643,9771,9873,9945,10155,10319,10443,10551,10671,10761,10911,11017,11109,11179,11333,11525,11779,11975,12143,12245,12349,12445,12585,12699,12801,12867,13109,13255,13711,13897,14021,14183,14291,14361,14517,14683,14807,14911,14975,15143,15303,15441,15541,15661,15755,15907,16019,16117,16187,16423,16585,16773,16901,17051,17173,17267,17339
