h,e,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,e,h,f,c,g,j,d,d,c,b,k,h,h,e,k,e,h,f,c,b,k,f,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b
2353,2485,2659,2831,2983,3153,3301,3403,3485,3621,3781,3907,4019,4135,4231,4335,4451,4571,4649,4935,5111,5223,5321,5435,5549,5627,5759,5923,6043,6153,6265,6357,6457,6537,6675,6823,6945,7061,7149,7279,7473,7637,7769,7871,7987,8103,8183,8333,8485,8611,8717,8837,8929,9037,9159,9279,9361,9541,9733,9909,10043,10147,10237,10365,10577,10709,10847,10957,11075,11167,11273,11397,11513,11591,11739,12557,12715,12893,13031,13199,13321,13447,13551,13639,13761,13921,14041,14163,14277,14393,14487,14591,14711,14827,14907,15455,15603,15721,15823,15941,16059,16143,16269,16417,16539,16647,16739,16881,17079,17259,17383,17485,17607,17725,17807,17965,18125,18251,18359,18479,18573,18683,18807,18929,19013
2383,2535,2709,2877,3047,3201,3373,3473,3537,3697,3853,3979,4087,4195,4289,4433,4539,4633,4697,4973,5145,5271,5411,5519,5607,5673,5827,5989,6119,6223,6325,6417,6519,6591,6747,6895,7019,7131,7195,7353,7519,7685,7821,7965,8075,8169,8239,8407,8559,8683,8787,8895,8983,9135,9239,9343,9411,9613,9781,9957,10113,10215,10285,10441,10635,10759,10919,11025,11131,11223,11373,11479,11577,11641,11813,12601,12767,12953,13081,13251,13375,13519,13623,13691,13837,13995,14115,14237,14347,14451,14543,14691,14797,14891,14955,15489,15643,15773,15919,16023,16125,16195,16343,16487,16613,16719,16785,16957,17129,17311,17439,17589,17691,17783,17851,18037,18195,18321,18429,18533,18627,18785,18891,18995,19063
