h,e,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,e,h,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,k,e,c,b,k,h,h,j,d,d,d,c,b,k,h,h,j,d,d,c,b,k,k,e,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b
2813,2967,3139,3305,3485,3651,3787,3895,3971,4097,4257,4379,4483,4595,4687,4793,4905,5013,5089,5227,5425,5605,5767,5897,6027,6133,6243,6337,6439,6557,6671,6749,6873,7075,7263,7437,7583,7705,7807,7919,8011,8111,8229,8339,8419,8593,8793,8973,9085,9163,9289,9495,9677,9805,9905,10023,10149,10259,10339,10507,10691,10861,10983,11085,11205,11319,11395,11591,11809,12019,12137,12217,12345,12497,12627,12733,12845,12941,13047,13169,13281,13365,13497,13655,13779,13887,14005,14099,14205,14329,14445,14527
2845,3023,3193,3347,3527,3699,3855,3963,4027,4171,4329,4451,4547,4651,4745,4879,4981,5077,5145,5301,5473,5659,5827,5949,6101,6201,6303,6395,6535,6643,6737,6807,6951,7125,7375,7513,7655,7777,7873,7975,8069,8205,8313,8409,8475,8671,8843,9027,9153,9225,9369,9545,9731,9863,9997,10119,10233,10329,10391,10583,10743,10913,11041,11187,11291,11385,11447,11665,11891,12075,12211,12281,12425,12573,12701,12799,12909,12997,13143,13253,13353,13421,13571,13729,13855,13959,14065,14163,14305,14415,14517,14585
