d,d,c,b,h,e,e,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f
7,59,177,257,1483,1653,1943,2071,2213,2343,2449,2535,2665,2811,2925,3035,3149,3247,3351,3437,3565,3717,3851,3959,4077,4171,4277,4401,4515,4599,4741,4895
39,147,241,309,1509,1693,2003,2135,2285,2419,2513,2581,2737,2885,2999,3103,3209,3301,3417,3485,3639,3791,3927,4027,4135,4231,4377,4487,4577,4643,4811,4967
