f,c,g,j,d,d,c,b,e,h,f,c,b,k,f,f,f,c,b,k,f,f,c,g,j,d,d,c,b
51,159,281,375,481,603,717,795,1971,2113,2237,2361,2445,2567,2717,2833,2963,3075,3159,3299,3457,3587,3693,3821,3913,4019,4143,4261,4343
125,233,339,433,583,687,783,855,2021,2157,2309,2429,2493,2647,2789,2909,3035,3143,3209,3371,3527,3659,3759,3879,3971,4119,4231,4327,4395
