e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,h,j,d,d,c,b,h,h,f,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,h,h,e,c,b,k,f,f,c,b
1629,1835,1981,2465,2663,2895,3043,3147,3227,3405,3569,3705,3815,3927,4021,4131,4257,4367,4447,4613,4775,4899,5009,5091,5225,5421,5593,5719,5823,5947,6061,6143,6293,6485,6611,6725,6845,6939,7047,7165,7283,7365,7579,7773,7953,8111,8227,8339,8439,8543,8671,8785,8865,9021,9181,9311,9425,9511,9657,9863,10033,10177,10281,10407,10525,10609,10807,11007,11207,11357,11513,11635,11749,11865,11963,12069,12151,12289,12567,12693,12795,12919,13037,13117,13397,13553,13709,13839,13949,14033,14177,14331,14463,14575,14657,14793,14951,15097,15203,15327,15421,15533,15663,15783,15865,16213,16393,16613,17079,17257,17451,17583,17665,17799,17959,18093,18205,18289
1677,1865,2039,2495,2689,2935,3109,3209,3279,3477,3639,3777,3879,3985,4077,4223,4339,4431,4501,4689,4849,4969,5081,5147,5305,5471,5647,5777,5919,6035,6129,6197,6367,6559,6691,6799,6907,6999,7141,7253,7351,7417,7627,7889,8033,8187,8293,8401,8497,8645,8757,8851,8923,9099,9255,9383,9495,9565,9735,9909,10085,10235,10381,10495,10595,10669,10887,11061,11299,11435,11587,11713,11819,11931,12023,12139,12211,12371,12621,12751,12897,13009,13107,13175,13449,13607,13785,13917,14019,14087,14263,14407,14539,14645,14715,14875,15025,15167,15279,15391,15487,15635,15755,15847,15921,16265,16447,16719,17121,17307,17499,17651,17723,17881,18031,18171,18277,18349
