h,h,e,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,g,j,d,d,c,b
1347,1981,2225,2535,2697,2859,2967,3047,3249,3415,3559,3675,3793,3887,3995,4119,4231,4309,4563,4751,4903,5037,5141,5223,5359,5519,5655,5765,5875,5971,6079,6203,6315,6395,6751,6903,7035,7149,7265,7361,7471,7593,7711,7791
1379,2029,2291,2587,2751,2929,3035,3107,3331,3489,3633,3747,3857,3955,4093,4201,4299,4367,4617,4813,4959,5111,5219,5287,5439,5597,5733,5835,5937,6037,6173,6287,6389,6457,6801,6961,7111,7223,7331,7425,7569,7681,7781,7855
