e,e,h,e,h,h,f,c,b,k,f,f,c,g,j,c,b,h,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1321,2263,2435,2595,2911,3085,3245,3347,3427,3571,3727,3851,3973,4081,4177,4285,4361,4781,4947,5111,5339,5555,5693,5801,5881,6009,6155,6291,6407,6519,6615,6725,6805,6969,7131,7267,7371,7455,7589,7747,7871,7979,8091,8187,8299,8423,8541,8621
1413,2293,2465,2645,2941,3129,3313,3411,3479,3643,3799,3925,4039,4139,4231,4351,4415,4831,5003,5165,5463,5607,5769,5863,5931,6085,6225,6363,6473,6581,6675,6793,6863,7047,7207,7341,7443,7513,7665,7823,7943,8045,8149,8243,8399,8509,8609,8675
