e,h,h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,k,e,h,f,c,b,k,f,f,c,b,k,f,f,c,b,k
1165,1991,2197,2495,2651,2811,2977,3129,3265,3369,3449,3591,3745,3863,3973,4087,4183,4287,4407,4519,4601,4759,4961,5165,5315,5467,5587,5697,5809,5905,6011,6093,6221,6385,6513,6625,6741,6839,6943,7063,7179,7261,7399,7563,7687,7799,7883,8017,8215,8379,8501,8603,8719,8833,8913,9211,9361,9497,9605,9691,9849,9999,10119,10231,10345,10441,10551,10673,10789,10869,11447,11613,11781,11893,12029,12141,12221,12349,12509,12629,12751,12835,12973,13137,13263,13373,13461,13597
1219,2029,2231,2557,2699,2871,3035,3175,3339,3441,3507,3669,3823,3937,4041,4147,4239,4383,4491,4583,4655,4833,5011,5261,5395,5545,5659,5765,5867,5961,6075,6145,6301,6465,6591,6697,6801,6897,7043,7155,7247,7319,7477,7637,7763,7869,7935,8093,8261,8427,8555,8701,8805,8901,8975,9261,9417,9577,9677,9747,9927,10075,10199,10303,10401,10499,10655,10763,10863,10929,11493,11661,11827,11945,12111,12209,12283,12433,12589,12709,12821,12889,13049,13215,13339,13445,13515,13675
