h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,b,k,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,k,h,f,c,b
1691,1829,1981,2135,2241,2325,2471,2625,2745,2853,2935,3071,3227,3355,3461,3547,3691,3857,3969,4065,4171,4255,4379,4527,4659,4775,4889,4985,5097,5221,5339,5421,5557,5711,5851,5963,6047,6183,6365,6571,6727,6883,7005,7115,7237,7333,7439,7523,7677,7835,7965,8081,8163,8327,8525,8695,8815,8919,9051,9173,9253,9409,9565,9695,9807,9893,10047,10627,10779,10899,11003,11129,11247,11329,11535,11731,11967,12117,12263,12379,12465
1719,1883,2027,2203,2301,2373,2545,2701,2819,2917,2985,3149,3297,3427,3527,3599,3767,3923,4031,4121,4231,4303,4453,4603,4735,4841,4947,5045,5195,5309,5405,5473,5635,5785,5929,6031,6097,6255,6409,6663,6799,6959,7081,7185,7297,7391,7505,7575,7751,7909,8043,8149,8221,8409,8577,8747,8875,9027,9141,9239,9305,9483,9639,9771,9873,9945,10125,10673,10825,10955,11105,11217,11309,11375,11611,11777,12005,12165,12337,12449,12513
