h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,h,h,j,d,d,c,b,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1835,1995,2171,2335,2549,2745,2877,2979,3061,3201,3359,3487,3593,3709,3801,3905,4025,4137,4217,4355,4513,4645,4755,4837,4977,5153,5309,5433,5553,5659,5779,5873,5979,6099,6215,6293,6437,6607,6749,6855,6937,7077,7227,7357,7465,7579,7675,7781,7861,7989,8193,8405,8535,8661,8769,8895,9011,9091,9483,9641,9745,9829,9957,10105,10227,10339,10421,10573,10763,10923,11047,11145,11265,11377,11461,11599,11761,11897,12005,12087,12219,12449,12623,12753,12855,12975,13099,13179,13307,13467,13589,13701,13785,13963,14115,14245,14357,14475,14573,14683,14803,14919,15003
1867,2027,2211,2395,2647,2789,2949,3045,3113,3273,3429,3559,3661,3769,3861,4007,4113,4201,4269,4423,4583,4717,4821,4887,5047,5199,5357,5507,5627,5725,5839,5929,6077,6187,6279,6343,6519,6681,6823,6921,6989,7149,7299,7431,7533,7639,7733,7847,7913,8065,8245,8453,8589,8715,8867,8981,9081,9145,9531,9687,9809,9877,10035,10181,10305,10405,10477,10653,10815,10979,11101,11243,11351,11447,11511,11677,11833,11975,12075,12141,12297,12499,12675,12811,12955,13071,13163,13227,13383,13543,13669,13769,13839,14037,14191,14321,14423,14537,14629,14783,14895,14983,15055
