e,h,e,e,h,e,h,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,e,k,f,f,c,b,k,h,h,f,c,b,k,h,h,e,k,f,f,c,g,j,d,d,c,b,h,h,h,h,j,d,d,c,b,k,h,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f
1101,1275,1415,1777,1989,2143,2569,2745,2901,3003,3081,3251,3403,3529,3639,3717,3849,4055,4227,4357,4457,4577,4689,4771,4941,5125,5303,5465,5617,5737,5851,5935,6057,6417,6563,6699,6803,6887,7013,7195,7349,7523,7701,7845,7965,8069,8181,8271,8377,8503,8613,8691,9535,9777,9963,10107,10231,10333,10451,10561,10643,10767,10965,11255,11411,11533,11631,11751,11863,11943,12079,12225,12343,12453,12563,12661,12765,12843,12967,13131
1157,1311,1479,1847,2027,2207,2617,2795,2973,3069,3135,3325,3479,3601,3703,3775,3925,4105,4277,4411,4555,4661,4757,4825,5015,5171,5401,5539,5691,5815,5923,5991,6135,6465,6615,6773,6877,6943,7091,7241,7399,7651,7775,7921,8041,8137,8241,8337,8477,8589,8681,8747,9583,9825,10013,10157,10293,10427,10535,10637,10701,10847,11017,11307,11463,11591,11725,11845,11935,11999,12157,12303,12423,12521,12625,12719,12833,12901,13041,13173
