h,e,e,h,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,h,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,h,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b
2023,2181,2409,2755,2943,3153,3329,3485,3607,3711,3825,3923,4031,4111,4239,4407,4527,4655,4771,4865,4971,5093,5207,5293,5427,5627,5821,6013,6197,6369,6489,6599,6685,6807,6959,7083,7195,7309,7403,7507,7587,7713,7867,7993,8103,8223,8319,8427,8513,8647,8849,9017,9191,9317,9417,9535,9651,9731,9875,10045,10177,10289,10407,10505,10613,10691,10861,11019,11167,11271,11391,11489,11591,11673,11805,11975,12803,12979,13159,13323,13471,13591,13699,13783,13911,14097,14293,14419,14521,14637,14753,14835,14967,15135,15269,15385,15469
2059,2241,2541,2799,2987,3243,3401,3561,3679,3775,3877,3975,4093,4159,4313,4475,4601,4717,4829,4921,5071,5181,5273,5343,5503,5669,5927,6093,6245,6447,6565,6669,6739,6881,7035,7157,7261,7367,7461,7575,7637,7791,7943,8071,8173,8287,8379,8493,8565,8721,8895,9067,9239,9373,9511,9619,9715,9783,9953,10123,10253,10363,10471,10565,10681,10743,10939,11095,11243,11347,11451,11549,11659,11727,11885,12049,12851,13025,13261,13395,13547,13669,13767,13837,13987,14147,14345,14477,14621,14721,14821,14889,15049,15211,15345,15459,15521
