k,e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,h,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,j,d,d,c,b,k,h,e,k,f,h,h,h,h,f,c,g,j,d,d,c,b,h,e,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,f,c,b,k,f,f,c,b,h,h
2297,2435,2625,2795,2977,3199,3363,3501,3597,3675,3807,3961,4071,4173,4281,4375,4479,4597,4707,4785,4935,5127,5295,5433,5531,5613,5745,5897,6015,6119,6231,6325,6431,6545,6653,6737,6871,7057,7253,7449,7607,7723,7829,7909,8031,8209,8387,8577,8737,8883,8999,9107,9189,9315,9507,9655,9781,9879,9995,10109,10187,10487,10665,10811,10993,11105,11185,11305,11457,11581,11683,11767,11901,12123,12281,12405,12503,12623,12733,12813,12945,13129,13251,13357,13441,13585,13795,13927,14027,14149,14261,14341,14485,14677,14875,15043,15191,15395,15589,15803,15979,16123,16237,16351,16443,16551,16669,16785,16867,17211,17397,17507,17589,17715,17869,17989,18103,18187,18381,18541,18663,18773,18857,18987,19191,19379,19513,19619,19701,19829,19999,20135,20247,20327,20645,20817
2325,2497,2653,2851,3015,3243,3407,3567,3663,3727,3879,4031,4139,4237,4339,4431,4577,4677,4771,4837,5009,5171,5347,5503,5601,5665,5821,5969,6087,6185,6293,6381,6525,6625,6719,6789,6945,7105,7375,7525,7683,7797,7899,7965,8103,8257,8437,8687,8811,8959,9077,9175,9245,9393,9555,9713,9837,9975,10081,10175,10237,10535,10719,10861,11047,11177,11245,11385,11531,11655,11753,11819,11975,12175,12341,12463,12605,12709,12801,12863,13023,13203,13325,13427,13497,13663,13847,13985,14127,14231,14327,14395,14557,14729,14977,15119,15265,15441,15643,15861,16029,16199,16311,16413,16503,16653,16757,16849,16915,17255,17445,17577,17647,17793,17945,18065,18175,18243,18457,18617,18739,18843,18913,19065,19241,19431,19589,19687,19757,19903,20075,20211,20317,20387,20693,20863
