n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x
1965.4,2237.3,2409.5,2531.9,2748,2926.3,3056.5,3248.5,3396.2,3549.2,NaN,NaN,3870.1,NaN,4060.9,4210,4368.4,4580.2,4701.6,4811.1,5011.1,5161,5335.3,5421.2,5665,NaN,5854,6009,6171.6,6387.6,6510.1,6619.1,6821.2,6938.4,7103.5,7300.2,7449.5,7611.4,7696.8,7948.8,NaN,8145.3,8300.6
2036.3,2303.9,2475.9,2638.5,2817.6,2999.5,3170,3345.7,3490.7,NaN,NaN,3800.8,NaN,4015.7,4157.3,4305.2,4543,4648.5,4780.1,4932.1,5124.7,5260.2,5395.4,5574.5,NaN,5804.5,5953.3,6107.9,6346,6457.3,6582.6,6741.3,6899,7060.8,7217.5,7398.3,7552.8,7670.1,7849.3,NaN,8092.6,8249.2,8396.2
