n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,n
2375.1,2501.3,2663.3,2821.5,2972.2,3540.4,3720.1,3842.8,4090.2,4205.8,4390.7,4602.8,4758.6,4922.8,NaN,NaN,5263.2,NaN,5459.3,5615.6,5802.4,6026.1,6158,6275,6462,6620.1,6785.6,NaN,NaN,7133.8,NaN,7334.2,7492.1,7664.9,7887.3,8013.6,8128.8,8332.2,8479.9,8595.3,8804.6,8957.7,9071.2,9255.8,9413.2,9581.7,NaN,NaN,9922.7,NaN,10118,10273,10461,10681,10808,10920,11103,NaN,11302,11461,11628,NaN,NaN,11984,12126,12239,12420,12581,12752,NaN,NaN,13102,13383,13522,13636,13820,13981,14166,14388,14519,14633,14823,NaN,15021,15186,15364,NaN,NaN,15756,15898,16013,16202,NaN,16405,16566,16751,16969,17098,17213,17402,NaN,17603,17765,17947,18168,18298,18424,18651,18860,18979,19185,19346,19464,19651,19812,20001,NaN,NaN,20370,20546,20664,20850,NaN,21052,21214
2429.5,2586.9,2725.4,2883.6,3076.3,3613.6,3786.6,3952.5,4162.6,4335.7,4513.6,4711.4,4855.9,NaN,NaN,5188,NaN,5410.2,5571.4,5714.8,5987.3,6101.7,6240,6405.5,6569.4,6721.3,NaN,NaN,7054.8,NaN,7285,7438.8,7589.4,7849.3,7963.1,8089.4,8253.9,8409.4,8560.2,8719.6,8878,9034.6,9198.7,9364.8,9510.9,NaN,NaN,9844.8,NaN,10072,10222,10376,10641,10760,10886,11045,NaN,11254,11414,11564,NaN,NaN,11887,12057,12203,12372,12530,12686,NaN,NaN,13016,13250,13458,13604,13759,13929,14086,14353,14466,14598,14759,NaN,14971,15129,15286,NaN,NaN,15638,15825,15978,16141,NaN,16355,16514,16669,16933,17059,17179,17358,NaN,17553,17704,17869,18133,18245,18379,18553,18728,18938,19104,19261,19424,19586,19759,19916,NaN,NaN,20263,20445,20625,20792,NaN,21003,21160,21266
