n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c
2257.6,2433.8,2566.3,2962.6,3133.5,3249.3,3467.1,3657.8,3776.8,3953,4102.6,4254.7,NaN,NaN,4579.3,NaN,4770.8,4924.1,5098.2,5310.2,5437.4,5547.8,5734.8,5887.1,6054.4,NaN,NaN,6377.5,NaN,6572.2,6728.8,6888.6,7107.5,7234.2,7345.2,7526.4
2326.8,2497.8,2667.9,3027.2,3200.3,3362.3,3536.9,3732.8,3894.6,4055.7,4199.7,NaN,NaN,4504.6,NaN,4725.1,4868.1,5021.4,5275.2,5383,5515,5667.4,5836.3,5984.5,NaN,NaN,6300.6,NaN,6523.5,6670.2,6823.1,7064.4,7178.3,7306,7462.9,7627.3
