n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e
1984.4,2140.5,2268.6,2485.4,2643.2,2771.2,2960.8,3113.7,3279.5,NaN,NaN,3602.8,NaN,3796.1,3952.4,4120.7,4330.7,4457.4,4571.3,4765.7,4915.1,5030.3,5216.9,5372.2,5546.3,5764,5888.4,6000.3,6194.2,6342.1,6460.5,6668.7,6811.9,6923.4,7111.8,7265.2,7445.2,NaN,NaN,7777,NaN,7971.2,8131.4,8304.5,8517.1,8640.4,8751.1,8952.8,9090.6,9205.3,9408.9,9559,9674.4
2072.6,2208.2,2380.1,2579.8,2719.2,2891.4,3057.2,3212.5,NaN,NaN,3529.9,NaN,3765.4,3899.1,4049.4,4294.1,4401.7,4533.6,4692.9,4837.1,4991,5150.4,5320.6,5472.7,5723.5,5837.4,5964.6,6120.8,6268.8,6417.7,6576.8,6743.2,6891.8,7046.1,7214.4,7361.9,NaN,NaN,7695.2,NaN,7920.3,8072.3,8230.5,8476.3,8591.2,8712.4,8874.1,9024.7,9166.7,9322.6,9484,9635.6,9795.4
