n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n
1716.3,1864.5,1997.1,2268.4,2448,2581,2818.9,3174.1,3344.1,3473.7,3678.4,3837,3996.1,NaN,NaN,4330.5,NaN,4531.9,4687.4,4878.5,5103,5232.4,5348.2,5561.6,5714.1,5828.7,6017.2,6175.2,6339.7,NaN,NaN,6668.6,NaN,6869.8,7031,7317,7536.5,7686.4,7802.6,7989.8,8145.1,8315.1,NaN,NaN,8656.8,NaN,8859.4,9017.8,9188.7,9414,9544.1,9662.3,9847.4,NaN,10052,10209,10380,NaN,NaN,10742,NaN,10943,11106,11280,11506,11639,11762,11968,12110,12226,12415,NaN,12617,12780,12957,NaN,NaN,13319,13459,13578,13771,NaN,13971,14134,14316,14625,14777,14893,15101
1761.3,1917.2,2100.8,2334.6,2517.5,2692.3,2885.4,3246.6,3418,3598.2,3775,3934.4,NaN,NaN,4258.6,NaN,4481.3,4635.1,4787.6,5064.5,5178.9,5309,5471.3,5635.8,5790.9,5950.1,6138.7,6286.3,NaN,NaN,6596.6,NaN,6819.2,6989.7,7130.6,7419.8,7608.2,7763,7926,8096.7,8258.4,NaN,NaN,8573.4,NaN,8807.9,8970.7,9114.1,9370.8,9499.2,9622.7,9785.9,NaN,9992.4,10156,10307,NaN,NaN,10640,NaN,10895,11046,11207,11465,11581,11717,11884,12042,12189,12349,NaN,12561,12721,12882,NaN,NaN,13219,13406,13537,13699,NaN,13922,14077,14237,14502,14697,14854,15014,15176
