n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,a,b,c,x
1479.9,1750.4,1964,2115.4,2282.2,2442.6,2582.2,2856,3059.9,3185.5,3438.5,3600.2,3715.6,3912.8,4062.5,4215.3,NaN,NaN,4537.7,NaN,4729.2,4879.5,5048.5,5261.3,5390.1,5498.5,5701.2,5842.9,5952.2,6134,6283.4,6443.6,NaN,NaN,6764.8,NaN,6955.4,7109.3,7379,7537.1,7652.8,7862.7,8002.6,8116.1,8299.6,8451.6,8614.8,NaN,NaN,8948.3,NaN,9138,9296.4,9480,9691.8,9817.3,9930.3,10143,10285,10403,10637,10784,10896,11079,NaN,11274,11431
1515.5,1784.4,2030.2,2198.9,2345.5,2508.5,2687.4,2921.3,3130.7,3302.5,3511.5,3673.5,3834,4013.8,4156.5,NaN,NaN,4457.9,NaN,4683.3,4824.8,4976.4,5221.5,5333.3,5465.1,5616.8,5781.9,5921.3,6070.7,6237.9,6381.3,NaN,NaN,6693.6,NaN,6907.7,7056.7,7208.1,7457.6,7608.9,7772.2,7940.9,8079.1,8230.3,8402.5,8549.2,NaN,NaN,8867.8,NaN,9089.6,9246.4,9394.9,9654,9764.2,9893.2,10048,10228,10365,10519,10705,10857,11016,NaN,11226,11379,11529
