n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,d,m,p,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1523.5,1764,1932.4,2087.5,2256.2,2497.3,2823.4,2946.1,3131.5,3415.9,3637.2,3764.5,3978.1,4175.1,4296.8,4496.9,4646.7,4811.4,NaN,NaN,5156.2,NaN,5353.8,5508.6,5699.3,6011.1,6164.9,6278.6,NaN,NaN,6641.8,6754.2,6957.3,7114.2,7273,NaN,NaN,7610.1,NaN,7810.4,7968.2,8148.1,8364.1,8487.3,8599.9,8789.2,NaN,8985.2,9143.5
1558.2,1800.8,2055.2,2161.6,2312.6,2565.7,2908.1,3053.7,3237.6,3486.3,3705.1,3871.9,4051,4248.4,4413.5,4592.5,4744.4,NaN,NaN,5066.5,NaN,5305.2,5453.1,5607.9,5873.6,6096.8,6244.3,NaN,NaN,6553.7,6718.6,6871.9,7058.2,7211.8,NaN,NaN,7525.2,NaN,7760.2,7918,8065.9,8324.6,8436.9,8563.7,8718.3,NaN,8932.3,9092.3,9335.9
