n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
1990.2,2176,2300.5,2524.1,2714.8,2835.8,3027.7,3179.1,3339.2,NaN,NaN,3671,NaN,3873.7,4036.4,4208.2,4422.7,4550.8,4665.4,4868.9,5014.4,5128.5,5309.7,5463.4,5623.2,NaN,NaN,5960.8,NaN,6157.7,6318.1,6497.7,6722.6,6849.1,6963.7,7202,7354.2,7476.4
2059.3,2246.5,2406.8,2595.7,2788.8,2954.3,3129.8,3275.5,NaN,NaN,3593.7,NaN,3820.1,3981.1,4134.9,4385.3,4504.8,4628.8,4792.6,4942.1,5092.2,5256.8,5412.8,5561.5,NaN,NaN,5883.2,NaN,6106.2,6258.8,6418.7,6672.8,6803.7,6926.1,7083.3,7276.2,7432.2,7597.2
