n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,n
1427.3,1590.5,1735.2,1979.1,2147.9,2290.4,2611.8,2838.8,2977.6,3213.9,3402.7,3532,3762.3,3915.3,4071.2,NaN,NaN,4405.1,NaN,4601.3,4758.1,4992.2,5155.3,5372.9,5546.2,5661.7,5848.8,6001.2,6167.7,NaN,NaN,6497,NaN,6693.6,6849.8,7020.3,7234.3,7361.8,7474.6,7681.5,7832.2,7944,8141.2,8295.8,8461.9,NaN,NaN,8800.2,NaN,8993.5,9152.2,9327.1,9562.2,9692.3,9805.2,10013,10172,10285,10475,10633,10795,NaN,NaN,11142,NaN,11337,11496,11715,11925,12139,12283,12394,12575,12729,12891,NaN,NaN,13252
1466.9,1642,1787.8,2043.4,2208.7,2395.2,2718.6,2905.5,3082.8,3280.7,3475.5,3652.4,3859.8,4014,NaN,NaN,4327.2,NaN,4551.5,4703.9,4855.4,5070.5,5221.3,5451.1,5624.9,5780.3,5950.8,6093.8,NaN,NaN,6419.2,NaN,6644.5,6796.5,6942.3,7197.7,7307.8,7442.4,7595,7752.5,7909.5,8068.3,8244.7,8395.5,NaN,NaN,8715.6,NaN,8947,9096.2,9250.3,9524.6,9637.4,9770.2,9925.9,10083,10250,10409,10584,10728,NaN,NaN,11052,NaN,11286,11438,11597,11887,11993,12208,12357,12512,12671,12829,NaN,NaN,13143,13320
