c,g,n,c,n,n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c
1922.8,1998.4,3464,3619.7,4382.7,4548.9,4768.6,4939.9,5062.6,5229.5,5509.3,5659.4,5831.6,5964.7,6470,6642.2,6759.8,6963.4,7119.8,7291.3,NaN,NaN,7637.8,7865.8,7979.9,8169.8,8326,8490.6,NaN,NaN,8827.9,NaN,9024,9179.6,9369.1,9589.3,9715.1,9827.3,10015,10169,10332,NaN,NaN,10677,NaN,10875,11038,11207,11524,11671,11788,11985,NaN,12179,12337,12503,12722,12846,12959,13147,13307,13478,NaN,NaN,13830,13983,14094,14296,14441,14553,14741,14898,15064,15283,15407,15525,15720,NaN,15917,16076,16246,16470,16595,16709,16888,NaN,17085,17249,17438,NaN,NaN,17799,17941,18055,18241,18396,18570,18787,18914,19027,19219,NaN,19420
1960,2073.1,3495.7,3666.9,4467.8,4606.6,4855,5011.5,5178.3,5335.1,5607,5735.1,5899.7,6071.3,6543.9,6718,6887.8,7070.1,7215.9,NaN,NaN,7548.9,7772.2,7939.5,8101.3,8272.5,8425.3,NaN,NaN,8747.1,NaN,8974.9,9124.1,9277.2,9545.9,9663.9,9790.4,9951,10122,10270,NaN,NaN,10597,NaN,10823,11001,11148,11386,11598,11752,11912,NaN,12131,12286,12448,12685,12795,12918,13084,13233,13404,NaN,NaN,13732,13899,14060,14218,14371,14516,14678,14868,15017,15247,15372,15484,15648,NaN,15869,16039,16193,16430,16544,16673,16832,NaN,17033,17197,17352,NaN,NaN,17696,17871,18015,18177,18346,18496,18750,18861,18996,19148,NaN,19366,19493
