n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p
1965.9,2135.2,2290.2,2448.2,2702.7,2844.3,3011.7,3125,3328,3497.8,3644.8,3840.9,3992.8,4151.9,NaN,NaN,4480.6,NaN,4672.8,4829.7,4991.4,5211.6,5337.5,5448.4,5653.7,5795.5,5906.2,6113.8,6250.4,6363.8,6542.8,6697.9,6858.2,7072.8,7197,7308.4,7489.1,NaN,7684.9,7843.7,8021.2,NaN,NaN,8365.6,NaN,8560.9,8718.3,8891.5,9106.7,9231.2,9346.2,9572.6,9796.5,9913.4,10099,10250,10413,NaN,NaN,10774,10911,11027,11207,11364,11540,11756,11880,11994,12183,NaN,12380,12538,12749,NaN,NaN
2045.6,2197,2347.3,2552,2772.6,2915.8,3082.6,3241.7,3396.2,3567.8,3776.3,3938.1,4091.8,NaN,NaN,4407.3,NaN,4625,4772.9,4927.8,5173.5,5286.4,5408.6,5569.5,5723.3,5874.3,6027.6,6184.2,6327.1,6480.2,6645.2,6801.5,7033.2,7161.5,7275.7,7432.4,NaN,7635,7786.9,7939.3,NaN,NaN,8277.4,NaN,8508.6,8659.2,8815.4,9069.3,9176.4,9308.3,9465,9646.8,9871.8,10036,10201,10351,NaN,NaN,10667,10858,10985,11149,11312,11464,11719,11831,11956,12111,NaN,12325,12486,12637,NaN,NaN,13012
