n,n,n,n,n,n,n,e,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c
1815.7,1957.3,2120,2739.8,2889.5,3034.5,3198.2,3332.1,4118.4,4255.3,4401.2,4569.5,4686.8,4914.3,5030.6,5198.2,5406.6,5564.4,5731.8,NaN,NaN,6084.5,NaN,6288.5,6449.5,6629.5,6846.2,6969.7,7085.4,7298.1,7436.3,7551.7,7745.7,7902.6,8067.7,NaN,NaN,8392.3,NaN,8590.7,8746.8,8924.8,9152.9,9280,9397.7,9613.5,9761.9,9876.5,10067,10222,10383,NaN,NaN,10711,NaN,10909,11067,11237,11460,11584,11696,11889,NaN,12092,12253,12464,NaN,NaN,12816,12955,13067,13250,13405,13631,NaN,NaN,13985,14120,14238,14441,14600,14774,14993,15122,15237,15420,NaN,15617,15775,15955,NaN,NaN,16310,16506,16624,16807,NaN,17009
1865.8,2031.1,2180.1,2802.2,2955,3101.5,3259.1,3436.7,4181.1,4335.3,4475.2,4633.5,4793.3,4982.2,5142.2,5314.6,5500.5,5664.1,NaN,NaN,5989.5,NaN,6229.8,6392.2,6544.5,6807.3,6921.6,7044.2,7204.5,7381.4,7510.6,7672.8,7850,8003.2,NaN,NaN,8341.7,NaN,8541.5,8696.9,8846.3,9106.2,9225.6,9354.9,9518.3,9689,9842.6,9998,10167,10322,NaN,NaN,10637,NaN,10859,11016,11173,11420,11533,11657,11820,NaN,12040,12193,12351,NaN,NaN,12721,12889,13031,13189,13344,13505,NaN,NaN,13890,14057,14194,14360,14547,14705,14954,15071,15196,15363,NaN,15567,15723,15876,NaN,NaN,16214,16384,16581,16743,NaN,16953,17073
