n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a
1663.6,1825.2,1986.8,2143.2,2279.6,2573.5,2781.6,2932.4,3165.3,3343.8,3468.5,3653.6,3812.2,3970.8,NaN,NaN,4305.5,NaN,4502.7,4660.8,4831.4,5052.1,5182.9,5298.4,5505.8,5646.9,5764.7,5951.7,NaN,6151.2,6309.8,6496.3,NaN,NaN,6839.7,NaN,7037.5,7197.8,7363.1,7584.7,7710.6,7824.7,8006,NaN,8205.3,8367,8553.2,8775.2,8905.9,9016.5,9197.2,NaN,9399.2,9560.9,9729.4,NaN,NaN,10057,NaN,10258,10420,10602,10827,10958,11072,11277,NaN,11476,11637,11825,NaN,NaN,12180,12316,12430,12615,NaN,12824,12986,13169,13391,13519,13633,13824
1718.2,1900,2051.2,2211.9,2386.9,2644.6,2851.9,3043.3,3240.8,3424.3,3589.8,3759.7,3912.1,NaN,NaN,4228.2,NaN,4452.5,4603.4,4760.8,5011.2,5148,5261.7,5418.5,5591.3,5723.2,5887.4,NaN,6102.6,6255.8,6410.5,NaN,NaN,6766.7,NaN,6987.8,7146,7294.7,7547.1,7666.8,7785.5,7948.2,NaN,8155.7,8310.8,8470.4,8735.2,8858.8,8983.2,9137.5,NaN,9347.8,9506.9,9660.7,NaN,NaN,9987.2,NaN,10208,10364,10526,10787,10910,11035,11190,NaN,11427,11581,11742,NaN,NaN,12085,12266,12391,12554,NaN,12766,12926,13096,13353,13478,13603,13757,13978
