n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n
1972.5,2126.3,2258.2,2476.8,2635.5,2764.1,2952.3,3103.4,3254.9,NaN,NaN,3581.3,NaN,3775.3,3928.6,4093.8,4308.3,4430.2,4547.6,4745.2,4895.7,5005.8,5184.7,5335.8,5490.3,NaN,NaN,5818.6,NaN,6013.1,6166.5,6335.4,6558.6,6686.4,6797.6,7018.4,7158,7268.6,7452,7604.9,7791.2,NaN,NaN,8115.1,NaN,8307.2,8465.5,8658.7,8873.3,9001.8,9117.5,9324.1,9470,9582.2,9787.7
2084.5,2195.2,2367.2,2549.8,2709.7,2879.3,3048.9,3198,NaN,NaN,3511.8,NaN,3729.7,3877.7,4023.9,4268.8,4397.8,4505.5,4663.7,4819.6,4973.8,5116.9,5287.5,5434.2,NaN,NaN,5747.6,NaN,5966.1,6116.1,6264.6,6513.8,6631.1,6765.1,6919,7090,7229.7,7387,7557.1,7705.2,NaN,NaN,8044.3,NaN,8259.8,8415.3,8563,8835.9,8948,9078.2,9238.8,9397.1,9545.6,9703,9859.5
