n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c
1843.8,1969.2,2134.3,2291.7,2533,2718.2,2839,3101.4,3305,3423.8,3608.6,3758.8,3916.7,NaN,NaN,4245.3,NaN,4436.6,4588.7,4757.8,4970.6,5092.4,5203.3,5386.8,5539.7,5702.7,NaN,NaN,6030.9,NaN,6223.5,6377.1,6548.1,6763.1,6885.9,6999.3,7189.8,NaN,7382.3,7539.9,7700.5,NaN,NaN,8046.1,8182.3,8294.8,8477.1,8631.9,8763.5,NaN,NaN,9129.6,NaN,9323.7
1876.8,2034.2,2206,2355.3,2604.8,2778.9,2943.3,3176.6,3377.3,3542.4,3710.6,3854.8,NaN,NaN,4172.5,NaN,4390.8,4539.6,4682.9,4936.7,5044.3,5165.1,5320.6,5493.6,5641.2,NaN,NaN,5961,NaN,6176.3,6328.7,6475.1,6725.3,6833,6962.4,7122.5,NaN,7336.1,7481,7636.7,NaN,NaN,7951.2,8112.6,8259.8,8415.3,8582.8,8726.8,NaN,NaN,9062.2,NaN,9276.8,9404.3
