n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
1634.8,1809.7,1973.8,2130.1,2293.3,2436.1,2956.8,3125.2,3237.4,3443.4,3598.8,3765.2,NaN,NaN,4104.3,NaN,4315.3,4471.6,4591.4,4867.7,5105.6,5311.7,5455.5,5566.2,5746.3,5897.2,6060.4,NaN,NaN,6400.7,NaN,6595.3,6758.3,6934.4,7150.2,7278,7389.6,7590.9,7729.4,7843.3,8021.9,8175.8,8341.2,NaN,NaN,8671.2,NaN,8864.8
1679,1872.2,2046.7,2236.5,2359.6,2542.3,3032.1,3196.3,3360.3,3549.1,3695.3,NaN,NaN,4017,NaN,4243.7,4427.1,4571.5,4830.1,5063.5,5223.2,5383.2,5533.8,5689.1,5847.9,5997.3,NaN,NaN,6317,NaN,6546.8,6722.2,6854.9,7110.4,7240.6,7352,7509,7662.9,7803.7,7964,8112.9,8274.4,NaN,NaN,8597.7,NaN,8815.5,8959
