n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x
2584.7,2777.2,2915.5,3133.7,3331.7,3453.2,3664.6,3816,3971.4,NaN,NaN,4306.8,NaN,4505.3,5278.2,5439.8,5561.2,5745.5,5899.4,6061.8,NaN,NaN,6386.6,NaN,6584.7,6745.2,6908.6,7126.8,7255.6,7366.6,7564.8,7712.1,7825.8,8009.6,8162.6,8322.8,NaN,NaN,8652.9,NaN,8850.3,9011.6,9177.6,9399.5,9526.3,9638.8,9847.1,10007,10120,10304,10460,10629,10848,10977,11276,NaN,11475,11642,11847,NaN,NaN,12184,NaN,12383,12542,12738,13036,13199,13314,13524,13687,13802,13986,14147
2659.9,2844.5,3025.3,3206.4,3404.7,3576.6,3766.4,3914.8,NaN,NaN,4247.2,NaN,4455.2,4606,5352.6,5514.8,5681.2,5855.6,5997.6,NaN,NaN,6316.2,NaN,6538.7,6695.1,6849.9,7090.1,7218.1,7335.1,7503,7654,7794.8,7957.6,8114.8,8270.5,NaN,NaN,8587.2,NaN,8801.3,8955,9113,9359.4,9484.5,9606,9761.8,9918.5,10080,10247,10406,10561,10811,10931,11211,NaN,11428,11581,11753,NaN,NaN,12104,NaN,12334,12492,12656,12922,13121,13282,13452,13601,13769,13933,14098,14250
