c,n,c,c,c,n,g,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
1971.6,2092.7,3600.5,3699.8,3791.8,5145.4,5249.8,5721.8,5867.3,6027.3,7015.9,7200,7316.2,7546.3,7704,7822.8,8004.9,8157,8313.2,NaN,NaN,8646.2,NaN,8838.6,8990.7,9167.2,9380.1,9506.2,9618.5,9826.2,9973.8,10091,10409,10556,10668,10870,11018,11195,NaN,NaN,11530,NaN,11719,11876,12045,NaN,NaN,12388,NaN,12582,12738,12897,13117,13246,13362,13565,13711,13822
2022.7,2198.2,3663.8,3758.2,3887.1,5198,5352.7,5761.7,5962,6083.4,7082.1,7268.5,7424.1,7632.2,7778.8,7944.7,8112.1,8254.3,NaN,NaN,8568.8,NaN,8790.2,8937.7,9097.8,9340.2,9453.9,9578.1,9730.4,9893.3,10048,10208,10479,10632,10787,10981,11115,NaN,NaN,11446,NaN,11673,11825,11972,NaN,NaN,12295,NaN,12532,12685,12833,13073,13190,13325,13481,13641,13788,13940
