n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1974,2146.2,2561.9,2723.3,2882.3,3041.9,3317.1,3491.8,3621.7,3865,4045,4169.6,4353.7,4506.4,4656.7,NaN,NaN,4989.8,NaN,5183.9,5335.2,5507.7,5731.5,5854.8,5966.9,6182.8,6324.9,6438.1,6624.1,6777.9,6946.1,NaN,NaN,7281.4,NaN,7481.6,7640.6,7814,8036.3,8164.9,8280.8,8495.4,8832.4,8979.3,9095.2,9395.6,9578.3,9694.9,9881.8,10035,10216,NaN,NaN,10551,NaN,10748,10903,11079,11300,11426,11542,11764
2034.7,2206.6,2608.3,2796.8,2945.2,3077.9,3390.3,3562.3,3730,3936.5,4119,4285.3,4454.5,4604.3,NaN,NaN,4914.3,NaN,5137.8,5286.4,5429.9,5686.9,5799.9,5931.1,6086.5,6262,6405.7,6549.8,6727.6,6877.8,NaN,NaN,7204.8,NaN,7428.5,7586.2,7739.6,7989.7,8107.2,8240.6,8398,8563.8,8903.6,9054.7,9219.3,9467.3,9655.4,9812.9,9986.5,10135,NaN,NaN,10467,NaN,10697,10849,11003,11257,11388,11504,11668,11838
