n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,a,b,c,x,n,e
1982.8,2152.3,2264.7,2473.7,2662.8,2785.6,3060.9,3228,3343.3,3521,3672.1,3847.1,NaN,NaN,4175.7,NaN,4368.6,4522.2,4702.8,4921.8,5048.5,5239.9,5390.4,5505.6,5715.2,5864.9,5975.2,6155.5,6307.2,6477.8,6696.5,6833.4,6948.9,7154.2,7306.3,7422.1,7605.2,NaN,7798.6,7957.2,8153.7,8240.4
2045.9,2216.8,2372.8,2547.1,2737.5,2898.7,3141.6,3302.3,3460.5,3623.1,3768.9,NaN,NaN,4112.7,NaN,4322.4,4474.4,4622,4882.4,4997.8,5118.6,5311.4,5467.4,5626.3,5788.3,5943.3,6092.2,6253.7,6408.1,6660.6,6772.5,6909.4,7067.8,7234,7382.2,7547.8,NaN,7748.5,7898.6,8051.6,8215.8,8392.6
