-,n,n,n,n,e,n,n,e,n,d,m,p,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1581.8,1888.5,1988,2435.2,2618.8,2754.8,2979.5,3184.8,3305.2,3548.6,3684.5,NaN,NaN,4034.9,4184,4336.5,NaN,NaN,4661.1,NaN,4852.5,5002.8,5169.8,5382.8,5512.8,5626.3,5828.6,5983.1,6092.2,6283.1,6433.2,6592.6,NaN,NaN,6930,NaN,7122.5,7278.4,7456.5,7673.9,7794.4,7911.9,8129.8
1660.7,1947.5,2039.8,2504,2711.4,2860.2,3047.2,3270.4,3404.8,3632.5,NaN,NaN,3968.7,4127.6,4279,NaN,NaN,4587.2,NaN,4806.5,4953.1,5097.5,5341.2,5455.5,5587.9,5743.9,5896.9,6055.2,6210.2,6385,6531.6,NaN,NaN,6842.7,NaN,7072.6,7227.3,7375.6,7631.7,7741.3,7871.2,8028.7,8201.1
