n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n
1777.4,1974.1,2116.7,2266.9,2476.3,2990.2,3775.4,3968.4,4094.7,4455.9,4650.6,4770.4,4992.7,5175,5304.1,5484.8,5638.3,5789.2,NaN,NaN,6129.3,NaN,6325.8,6485,6652,6871.4,7000.2,7112.9,7318.2,7471.2,7582.9,7764.8,7918.1,8083.1,NaN,NaN,8404.1,NaN,8602.9,8758.6,8946.4,9165.1,9289.2,9401.3,9600.6,9740.7,9853.8,10073,10233,10459,10633,10746,10931,11084,11243,NaN,NaN,11578,NaN,11776,11933,12121,12339,12464,12575,12783,12924,13036,13222,13377,13565,13843,13983,14098,14287,NaN,14481,14636,14818,15042,15167,15280,15492,15668,15784,15967,NaN,16165,16322,16518,NaN,NaN,16896
1849.8,2072.6,2181.6,2328,2593,3062.8,3875.3,4035.7,4200.6,4534.4,4718.7,4889.1,5089.9,5249.3,5426.8,5585.1,5736.3,NaN,NaN,6044.8,NaN,6276.7,6426.6,6579,6832.2,6942.7,7075,7238.5,7392.6,7544,7703,7870.2,8023.6,NaN,NaN,8336.9,NaN,8553.6,8705.4,8856.1,9122.4,9235.3,9363.6,9522.1,9673.3,9813.2,9975,10143,10311,10533,10707,10866,11033,11184,NaN,NaN,11505,NaN,11725,11884,12034,12300,12427,12540,12696,12860,13001,13161,13320,13478,13638,13926,14060,14218,NaN,14430,14588,14737,14998,15126,15245,15402,15562,15742,15906,NaN,16114,16287,16421,NaN,NaN,16770,16960
