n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c
1962,2120.1,2278.4,2508.2,2721.1,2875.5,3023.8,3156.3,3431.1,3762.6,3853.5,4090.4,4271.1,4384.5,4584.5,4734.7,4892.7,NaN,NaN,5215.4,NaN,5407.1,5563.8,5725.4,5943.8,6064.2,6177.5,6359.7,6513.6,6668.8,NaN,NaN,6998.2,NaN,7194.2,7351.5,7521.1,7735.8,7860.3,7973.4,8173.2,8307.9,8420.6,8606.2,8760.9,8920.8,9142.2,9264.8,9378,9561.7,NaN,9753,9913.2,10076,NaN,NaN,10402,NaN,10599,10761,10932,11223,11379,11492,11675,NaN,11872,12028,12199,NaN,NaN,12547,12688,12800,12987,NaN,13190,13350,13529,13754,13879,13992,14179,NaN,14379,14538,14715,NaN,NaN,15092,15223,15337,15524,NaN,15724
2023.6,2203.6,2346.7,2611.5,2804.1,2946.3,3089.5,3260.6,3663.4,3829,3979.7,4160.4,4343.2,4503.4,4653.2,4827.7,NaN,NaN,5156.5,NaN,5355.3,5506.3,5662.8,5903.1,6011.9,6139.3,6301.7,6454.8,6612.7,NaN,NaN,6927.5,NaN,7143.3,7298.2,7450,7699.6,7809.2,7934.4,8089.7,8258.2,8383.9,8543.8,8711.2,8859,9103.2,9219.5,9337.7,9499.6,NaN,9704.9,9856.2,10011,NaN,NaN,10330,NaN,10551,10705,10880,11112,11295,11451,11612,NaN,11821,11974,12137,NaN,NaN,12461,12618,12761,12920,NaN,13137,13297,13450,13712,13826,13954,14112,NaN,14328,14481,14638,NaN,NaN,14975,15177,15293,15460,NaN,15673,15803
