n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c
1990.6,2147.6,2273.1,2516.1,2735,2843,3031.8,3184.8,3350.2,NaN,NaN,3685.9,NaN,3882.8,4041.5,4211.5,4430.8,4563.1,4675.8,4882.1,5040.7,5152.2,5337.3,NaN,5531.5,5690.3,5869.5,6090.7,6223.6,6332.4,6544.8,6689.3,6802.9,6989.1,7145,7324.8,NaN,NaN,7669.5,NaN,7866.5,8023.2,8191.8,8423,8549.6,8664.4,8847.5,NaN,9046.5
2075.8,2216.6,2389.2,2587.2,2806.8,2966.2,3130.3,3284.8,NaN,NaN,3633.1,NaN,3828.1,3986.4,4140.7,4391.8,4509.6,4636.8,4798,4955,5114.7,5276,NaN,5479.6,5634.9,5789.4,6047.7,6171.3,6295.4,6462.8,6616.5,6766.9,6924.3,7085.8,7248.2,NaN,NaN,7580.3,NaN,7809.9,7967.1,8122.4,8370.8,8501.3,8626.2,8788.5,NaN,8986.3,9119.8
