n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p
1981,2141.8,2271.4,2474.9,2641.1,2757.1,2942.8,3090.8,3256.9,3343.6,3583.9,NaN,3776.9,3931.6,4099.3,4318.9,4450.8,4564,4769.8,4911.5,5024.8,5197.5,5354.6,5558.9,NaN,NaN,5888.8,NaN,6084,6237.3,6418.5,6634.8,6758.7,6871.8,7176,7324,7438.9,7619.8,7774.5,7937.5,NaN,NaN,8263.2,NaN,8457.4,8615.1,8803.1,NaN,NaN
2055.1,2214.3,2384.8,2548.2,2717.9,2876.1,3042.9,3181,3316.3,3497.3,NaN,3728.3,3878.8,4027.8,4280.2,4390.2,4523.7,4682.1,4841.1,4988.3,5142.2,5297.8,5453,NaN,NaN,5807.8,NaN,6033.4,6190,6336.3,6594.2,6719.1,6835.5,6996.8,7249.5,7401.8,7560.2,7721.1,7875.5,NaN,NaN,8190.1,NaN,8412,8559.9,8713,NaN,NaN,9053.7
