n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n
1839.8,1981.6,2143.8,2268.1,2904.9,3058,3183.1,3405.2,3573.2,3690.8,3882.9,4037.2,4202.8,NaN,NaN,4538.9,NaN,4737.5,4895.7,5076.4,5294.4,5419.9,5538.6,5744.2,5899.2,6015.1,6202.5,6360.2,6531.2,NaN,NaN,6864.3,NaN,7073.8,7231.8,7409.2,7628.3,7765,7878.8,8087.8,8229,8343.3,8527.5,8683.5,8851.6,NaN,NaN,9190,NaN,9382.7,9543.4,9721.5,9944,10075,10189,10379,10536,10718,NaN,NaN,11080
1897.4,2039.2,2205.7,2373.1,3000.9,3130.2,3290.1,3473.8,3646,3811.8,3983.3,4137.8,NaN,NaN,4466.2,NaN,4689.7,4844,4992.2,5258.6,5367.7,5496.1,5660.2,5818.4,5975.1,6136.2,6302.3,6460.4,NaN,NaN,6788.5,NaN,7015.5,7176.3,7331.8,7591.9,7705.2,7840.9,8002.6,8155.9,8304.1,8466.1,8631.7,8784.3,NaN,NaN,9107.9,NaN,9333.5,9485.6,9646.7,9905.1,10033,10152,10316,10481,10639,NaN,NaN,10980,11153
