c,g,c,n,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,e,a,b,c,x,d,m,p,a,b,c,x,g
2546.8,2719.3,3305.4,3455.4,3605,NaN,NaN,4108.4,4300.2,4423.8,4659.8,4827.7,4943,5135.7,5287.2,5467.4,NaN,NaN,5789.6,NaN,5983,6136.3,6310.5,6538.6,6687.3,6885.5,7000.6,7218.1,7365.6,8980.4,9134.3,9292.1,9400.2,9689.1,9856.8,9970.7,10144,10296,10449,NaN,NaN,10780,NaN,10972,11124,11305,11522,11649,11759,11959,12107,12217,12403,12555,12715,NaN,NaN,13152,13431,13629,NaN,13823,13978,14176,NaN,NaN,14506,NaN,14702,14860,15033
2589.8,2862.4,3346,3527.5,NaN,NaN,3983.6,4211.6,4368.4,4531.4,4729.5,4900.6,5062.7,5230.5,5388.7,NaN,NaN,5723.8,NaN,5934.8,6083.3,6231.2,6489.6,6572.4,6756.7,6958.4,7122.8,7288.6,7443.4,9089.7,9197.2,9369.8,9515.8,9763.1,9929.2,10090,10246,10394,NaN,NaN,10706,NaN,10929,11076,11220,11481,11594,11721,11909,12030,12182,12342,12509,12654,NaN,NaN,12973,13387,13556,NaN,13776,13933,14076,NaN,NaN,14437,NaN,14656,14809,14958,15208
