n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c
3660.2,3817.7,3978,4142.6,4266,4500.8,4716.1,4837.8,5075.4,5239.8,5358.4,5546.8,5695.1,5857.8,NaN,NaN,6180.5,NaN,6378.8,6543.8,6711.1,6927.4,7051.9,7163.5,7369,7513.1,7624.2,7807.8,7960.3,8123.7,NaN,NaN,8452.6,NaN,8646.5,8803.5,8960.8,9179.6,9311,9425.6,9632.9,9782.4,9896.7,10107,10244,10360,10543,10696,10865,NaN,NaN,11197,NaN,11392
3719.3,3897.6,4050.2,4203.9,4372.7,4573.5,4787.6,4950.9,5146.4,5317.1,5481.3,5639.2,5790.8,NaN,NaN,6113.8,NaN,6327.7,6485.7,6640.3,6891.2,6999.1,7127,7284.5,7440.3,7586.7,7746.1,7909.7,8057.7,NaN,NaN,8377.9,NaN,8596.4,8753.4,8901,9140.8,9271.8,9383.9,9542.7,9704.7,9854.1,10021,10190,10319,10482,10649,10795,NaN,NaN,11127,NaN,11342,11495
