-,-,-,-,n,n,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c
1976.6,2648.4,3155.8,3526.6,3738.2,3878.6,4027.5,4186.5,4333.6,4620.2,4799.6,4922.2,5139.2,5936.8,6106.1,6221.3,6407.5,6559.5,6721.8,NaN,NaN,7045.9,NaN,7240.5,7394.7,7562,7779.5,7904,8017.7,8203,8356.6,8517.2,NaN,NaN,8843.3,NaN,9045,9208.3,9384,9611,9740.1,9852.5,10060,10220,10332,10519,10677,10869,NaN,NaN,11202,NaN,11401,11560,11754,NaN,NaN,12110,12249,12360,12549,12705,12881,NaN,NaN,13238,NaN,13434,13593,13773,13992,14119,14232,14423,NaN,14623
2026.7,2693.8,3212.8,3570.5,3787.4,3961.4,4096.4,4250.8,4437.9,4689.6,4866.9,5032.5,5208.9,6007.9,6182,6340.6,6510.4,6660.1,NaN,NaN,6981,NaN,7192.6,7345.1,7493.3,7738.2,7855.6,7979.2,8140.9,8303,8460,NaN,NaN,8777,NaN,8990.5,9149.3,9306.9,9567.1,9685,9817.2,9977.1,10134,10299,10453,10621,10776,NaN,NaN,11128,NaN,11351,11512,11659,NaN,NaN,12012,12182,12324,12483,12651,12805,NaN,NaN,13142,NaN,13389,13531,13690,13954,14081,14192,14354,NaN,14569,14734
