n,n,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x
1852.3,1981.5,2128.3,2300.3,2429,2680.5,2969.2,3132.9,3258.2,3453.8,3611.1,3795.6,NaN,NaN,4141.4,NaN,4339.7,4498,4671.6,5001.3,5145.8,5260.3,5462.9,5617.7,5731.8,5921,6076.2,6249.2,NaN,NaN,6581.1,NaN,6776.3,6933.3,7108.8,7329.6,7453.6,7568.7,7748.3,NaN,7946.2,8104.8,8271.1,NaN,NaN,8614.1,NaN,8808.6,8967.3
1908.5,2060.5,2198.2,2369.5,2531.4,2750.8,3045.1,3206.7,3375.3,3548.4,3712.2,NaN,NaN,4051.7,NaN,4288.5,4440.7,4598.9,4852.4,5077.9,5223.5,5384.1,5536.6,5695.1,5858.4,6025.6,6174.8,NaN,NaN,6504.1,NaN,6727.3,6892.4,7033.9,7291,7408,7529.4,7692.2,NaN,7896,8046.9,8207,NaN,NaN,8527,NaN,8760.1,8915.7,9068.5
