n,n,n,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n
1844.7,1960.8,2109.3,2340,2519.2,2656.1,3194.2,3364.8,3515.6,3743.4,4028.5,4200,4320.6,4518.6,4670.6,4826.7,NaN,NaN,5168,NaN,5362.2,5518.7,5690.9,5908.9
1882.4,2024.9,2171.9,2410.4,2581.7,2764.5,3263,3435.8,3624.9,3813.4,4104,4277.2,4443.8,4615.1,4771,NaN,NaN,5081.7,NaN,5313,5466.2,5617.3,5865.1,5972
