-,n,n,n,n,e,n,n,e,-,n,n,e,c,x,d,m,p,a,b,c,x,g
1595.4,1831.8,1974.6,2140.6,2309.9,2461.3,3043.4,3214.8,3349.3,3646,3904.5,4090.3,4215.3,4421.7,4572.8,4753.6,NaN,NaN,5096,NaN,5294.2,5451,5628
1627.4,1881.5,2045.7,2200,2369.2,2566.1,3113.1,3279.7,3454.7,3719,3976.9,4168.1,4334.5,4518.7,4669.5,NaN,NaN,5009.8,NaN,5242.2,5395.3,5549.8,5807.1
