c,g,n,n,n,n,e,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1984.8,2099.7,3595.5,3726.5,3870.4,4021,4146.5,4432.8,4706.6,4939.7,5131.6,5260.7,5450.4,5603.6,5756.8,NaN,NaN,7005.6,7170.5,7287.1,8196.8,8362.4,8485.4,8685.7,8836.4,8954.6,9141.2,9295.9,9450.9,NaN,NaN,9785.8,NaN,9981.7,10137,10302,10518,10646,10759,10962,11097,11209,11397,11552,11692,NaN,NaN,12023,NaN,12266,12426,12594,12817,12949,13066,13250,NaN,13451,13614,13820,NaN,NaN,14196
2039.9,2164.1,3651.1,3811.2,3936.3,4086.5,4250.9,4662.2,4819.6,5011,5206.2,5383.2,5554.4,5702.1,NaN,NaN,6008.2,7078,7244.3,7401.4,8270,8436.3,8596,8759.7,8910.2,9071.1,9243.6,9396.5,NaN,NaN,9707.1,NaN,9933.7,10084,10237,10479,10594,10721,10882,11035,11175,11335,11501,11651,NaN,NaN,11984,NaN,12222,12376,12529,12778,12896,13023,13190,NaN,13399,13556,13718,NaN,NaN,14078,14267
