n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,n
1829.4,1960.8,2115.1,2307.6,2463.1,2996.2,3169.6,3292.1,3526,3715.1,3842.3,4034.9,4189.5,4349.2,NaN,NaN,4704.3,NaN,4905.2,5063.4,5235.7,5459.4,5587.5,5702.7,5891.8,6054.8,6209.5,NaN,NaN,6554.7,NaN,6754.2,6915.3,7099.6,7321.5,7449,7566.6,7775.9,7938.9,8055.2,8256,8414.1,8581.3,NaN,NaN,8940.2,NaN,9142,9301.7,9481.9,9704.3,9835.1,9951.5,10141,10300,10473
1911.7,2044.8,2191.9,2374.6,2571.1,3070.8,3239.8,3396.8,3595.4,3794.8,3962.7,4140,4289.9,NaN,NaN,4618,NaN,4853,5012.7,5170.3,5420.3,5544.5,5662.4,5826.2,5996.6,6167.3,NaN,NaN,6472,NaN,6702.5,6864.3,7026.8,7281.6,7407.8,7525.2,7690.6,7849.8,8020.8,8182.3,8364.7,8522.9,NaN,NaN,8844.3,NaN,9090.7,9251.4,9420.4,9666.2,9781.6,9919.5,10076,10250,10417,10608
