n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
3458.3,3631.4,4622.7,4819.3,4943.9,5460.8,5628.6,5770.7,5987.7,6143.8,6269.3,6453.5,6605.8,6757.9,NaN,NaN,7080,NaN,7273.4,7422.1,7612.5,7840.9,7974.2,8113.8,8224.8,8405.3,8556.8,8714.9,NaN,NaN,9044.8,NaN,9235.9,9391,9565,9779.3,9901.8,10013,10236,10411,10527,10719,10871,11033,NaN,NaN
3596.4,3766.2,4698,4873.7,5049.8,5580.7,5699.6,5881.2,6062.4,6222,6387.3,6552.3,6699.5,NaN,NaN,7007.6,NaN,7225.7,7372.8,7519.6,7789.6,7876.7,8055,8186.7,8346.2,8507.1,8654.2,NaN,NaN,8967.7,NaN,9186.7,9337.4,9486.2,9740.7,9850.3,9976.6,10135,10304,10490,10649,10824,10971,NaN,NaN,11278
