g,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e
1636.7,1816.7,1982.9,2138.3,2254.8,2521.8,2729.1,2871.8,3182.1,3332.9,3455.6,3647.9,3802.8,3968,NaN,NaN,4315.5,NaN,4513.6,4777,4932.8,5050,5257,5402,5515.5,5697,5853.2,6017.7,NaN,NaN,6462.7,6599.2,6716.3,6907.2,7064.4,7236.2,NaN,NaN,7571,NaN,7767.3,7924.8,8098.2,8314.6,8436.1,8547.1,8752,8890.3,9003.1,9190.4,NaN,9388.6,9550.4,9868.6,10009,10121,10302,NaN,10498,10658,10837,NaN,NaN,11188,11332,11447,11629,11785,11948,12166,12289,12402,12587,NaN,12785,12948,13115,13332,13457,13571
1685.2,1893.1,2044.2,2200.9,2360.5,2588.1,2793.5,2976.6,3284.7,3411.2,3570.2,3746.8,3900.1,NaN,NaN,4232.3,NaN,4459.5,4598.2,4852.7,5011.8,5171.8,5329.6,5479.1,5635.8,5799.9,5950.6,NaN,NaN,6272.9,6537.6,6674.4,6842.1,7008.9,7162.3,NaN,NaN,7497.4,NaN,7717.7,7873.3,8021.4,8276.8,8386.3,8514.1,8669.4,8827.9,8967.6,9127.8,NaN,9336.9,9492.7,9648.2,9945.6,10087,10244,NaN,10448,10603,10755,NaN,NaN,11089,11256,11411,11569,11724,11882,12127,12241,12367,12523,NaN,12737,12890,13042,13293,13405,13534,13695
